signal_date,ticker,close,score,planned_exit_sessions,exit_after,status
2026-08-21,CUPID.NS,284.5799865722656,228.29400634512658,21,2026-09-21,open
2026-08-21,STLTECH.NS,627.1500244140625,100.86266034815205,21,2026-09-21,open
2026-08-21,MTARTECH.NS,7029.5,80.73498665309064,21,2026-09-21,open
2026-08-21,GRWRHITECH.NS,7123.5,67.0940979243144,21,2026-09-21,open
2026-08-21,HINDCOPPER.NS,572.7000122070312,63.210183955653385,21,2026-09-21,open
2026-08-21,HFCL.NS,228.00999450683594,60.75565990432245,21,2026-09-21,open
2026-08-21,IDEA.NS,13.9399995803833,59.89049479450948,21,2026-09-21,open
2026-08-21,LAURUSLABS.NS,1802.0,57.49864182708011,21,2026-09-21,open
2026-08-21,FEDERALBNK.NS,361.0,56.175952111269275,21,2026-09-21,open
2026-08-21,WELCORP.NS,2311.89990234375,55.77312387216635,21,2026-09-21,open
2026-08-21,GRANULES.NS,858.1500244140625,51.49768549186863,21,2026-09-21,open
2026-08-21,KTKBANK.NS,328.29998779296875,49.57419434255882,21,2026-09-21,open
2026-08-21,ADANIENSOL.NS,1541.9000244140625,49.2496875821284,21,2026-09-21,open
2026-08-21,SONACOMS.NS,817.5999755859375,46.2517306298731,21,2026-09-21,open
2026-08-21,TDPOWERSYS.NS,767.4000244140625,46.19471989751286,21,2026-09-21,open
2026-08-21,ACUTAAS.NS,3169.0,45.20141123267544,21,2026-09-21,open
2026-08-21,NETWEB.NS,5601.0,44.58769615344045,21,2026-09-21,open
2026-08-21,ANANDRATHI.NS,2188.0,44.12070964321551,21,2026-09-21,open
2026-08-21,BHARATFORG.NS,2063.0,44.10305755734218,21,2026-09-21,open
2026-08-21,RADICO.NS,4639.7998046875,44.076520833700435,21,2026-09-21,open
